1992-352,80,Masters 1000,ATP Masters 1000 Paris,352,paris,Paris,1992.11.02,1992,Indoor,Carpet
1992-215,81,,Buzios,215,buzios,Buzios,1992.11.02,1992,Outdoor,Hard
1992-430,82,,Antwerp,430,antwerp,Antwerp,1992.11.09,1992,Indoor,Carpet
1992-438,83,,Moscow,438,moscow,Moscow,1992.11.09,1992,Indoor,Carpet
1992-240,84,,Sao Paulo,240,sao-paulo,Sao Paulo,1992.11.09,1992,Outdoor,Hard
1992-605,85,ATP Finals,ATP Tour World Championship,605,atp-tour-world-championship,,1992.11.16,1992,Indoor,Carpet
1992-602,86,ATP Finals,ATP Tour World Doubles Championship,602,atp-tour-world-doubles-championship,"Johannesburg, South Africa",1992.11.16,1992,Outdoor,Hard
1992-604,87,,Grand Slam Cup,604,munich,"Munich, Germany",1992.12.08,1992,Indoor,Carpet
1993-451,1,,Doha,451,doha,Doha,1993.01.04,1993,Outdoor,Hard
1993-450,2,,Kuala Lumpur-1,450,kuala-lumpur,Kuala Lumpur,1993.01.04,1993,Outdoor,Hard
1993-7308,3,,Adelaide,7308,adelaide,Adelaide,1993.01.04,1993,Outdoor,Hard
1993-494,4,,Jakarta,494,jakarta,Jakarta,1993.01.11,1993,Outdoor,Hard
1993-338,5,,Sydney Outdoor,338,sydney,Sydney,1993.01.11,1993,Outdoor,Hard
1993-301,6,,Auckland,301,auckland,Auckland,1993.01.11,1993,Outdoor,Hard
1993-580,7,Grand Slam,Australian Open,580,australian-open,Melbourne,1993.01.18,1993,Outdoor,Hard
1993-495,8,,Dubai,495,dubai,Dubai,1993.02.01,1993,Outdoor,Hard
1993-496,9,,Marseille,496,marseille,Marseille,1993.02.01,1993,Indoor,Carpet
1993-424,10,,San Francisco,424,san-francisco,San Francisco,1993.02.01,1993,Indoor,Hard
1993-408,11,,Milan,408,milan,Milan,1993.02.08,1993,Indoor,Carpet
1993-402,12,,Memphis,402,memphis,Memphis,1993.02.08,1993,Indoor,Hard
1993-357,13,,Stuttgart Indoor,357,stuttgart,Stuttgart,1993.02.15,1993,Indoor,Carpet
1993-401,14,,Philadelphia,401,philadelphia,Philadelphia,1993.02.15,1993,Indoor,Hard
1993-407,15,,Rotterdam,407,rotterdam,Rotterdam,1993.02.22,1993,Indoor,Carpet
1993-807,16,,Mexico City,807,mexico-city,Mexico City,1993.02.22,1993,Outdoor,Clay
1993-433,17,,Scottsdale,433,scottsdale,Scottsdale,1993.02.22,1993,Outdoor,Hard
1993-404,18,Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,Indian Wells,1993.03.01,1993,Outdoor,Hard
1993-481,19,,Copenhagen,481,copenhagen,Copenhagen,1993.03.01,1993,Indoor,Carpet
1993-497,20,,Zaragoza,497,zaragoza,Zaragoza,1993.03.08,1993,Indoor,Carpet
1993-403,21,Masters 1000,ATP Masters 1000 Miami,403,miami,Miami,1993.03.12,1993,Outdoor,Hard
1993-360,22,,Casablanca,360,casablanca,Casablanca,1993.03.15,1993,Outdoor,Clay
1993-468,23,,Estoril,468,estoril,Estoril,1993.03.29,1993,Outdoor,Clay
1993-498,24,,Osaka,498,osaka,Osaka,1993.03.29,1993,Outdoor,Hard
1993-426,25,,Durban,426,durban,Durban,1993.03.29,1993,Outdoor,Hard
1993-6815,26,,Durban,6815,durban,Durban,1993.03.29,1993,Outdoor,Hard
1993-329,27,,Tokyo Outdoor,329,tokyo,Tokyo,1993.04.05,1993,Outdoor,Hard
1993-425,28,,Barcelona,425,barcelona,Barcelona,1993.04.05,1993,Outdoor,Clay
1993-717,29,,Charlotte,717,charlotte,Charlotte,1993.04.12,1993,Outdoor,Clay
1993-336,30,,Hong Kong,336,hong-kong,Hong Kong,1993.04.12,1993,Outdoor,Hard
