1970-425,78,,Barcelona,425,barcelona,Barcelona,1970.10.19,1970,Outdoor,Clay
1970-303,79,,Buenos Aires,303,buenos-aires,Buenos Aires,1970.11.01,1970,Outdoor,Clay
1970-7302,80,,Paris Indoor,7302,paris,Paris,1970.11.09,1970,Indoor,Carpet
1970-2016,81,,London,2016,london,"London, Great Britain",1970.11.12,1970,Indoor,Carpet
1970-430,82,,Wembley,430,wembley,Wembley,1970.11.16,1970,Indoor,Carpet
1970-429,83,,Stockholm Open,429,stockholm,Stockholm,1970.11.22,1970,Indoor,Hard
1970-605,84,ATP Finals,Masters,605,masters,,1970.12.07,1970,Indoor,Carpet
1970-602,85,ATP Finals,Masters Doubles,602,masters-doubles,"Tokyo, Japan",1970.12.09,1970,Indoor,Carpet
1970-9278,86,,New Orleans,9278,new-orleans,"New Orleans, United States",1970.12.26,1970,Indoor,Carpet
1971-,1,,Munich,,,"Munich, Germany",,1971,Outdoor,Hard
1971-338,2,,Sydney Outdoor,338,sydney,Sydney,1971.01.11,1971,Outdoor,Grass
1971-3936,3,,Melbourne,3936,melbourne,"Melbourne, Australia",1971.01.23,1971,Outdoor,Grass
1971-2036,4,,Omaha,2036,omaha,"Omaha, United States",1971.01.27,1971,Indoor,Carpet
1971-802,5,,Richmond,802,richmond,Richmond,1971.02.04,1971,Indoor,Carpet
1971-2058,6,,New York,2058,new-york,New York,1971.02.08,1971,Indoor,Carpet
1971-401,7,,Philadelphia WCT,401,philadelphia,Philadelphia,1971.02.09,1971,Indoor,Carpet
1971-355,8,,Salisbury,355,salisbury,Salisbury,1971.02.14,1971,Indoor,Carpet
1971-2066,9,,Macon,2066,macon,Macon,1971.02.23,1971,Indoor,Carpet
1971-262,10,,London Indoor,262,london,London,1971.02.26,1971,Indoor,Carpet
1971-657,11,,Hampton,657,hampton,Hampton,1971.03.01,1971,Indoor,Carpet
1971-301,12,,Auckland,301,auckland,Auckland,1971.03.01,1971,Outdoor,Grass
1971-580,13,Grand Slam,Australian Open,580,australian-open,Sydney,1971.03.07,1971,Outdoor,Grass
1971-344,14,,Caracas,344,caracas,Caracas,1971.03.16,1971,Outdoor,Hard
1971-818,15,,Chicago WCT,818,chicago,Chicago,1971.03.22,1971,Indoor,Carpet
1971-9237,16,,Pensacola,9237,pensacola,"Pensacola, United States",1971.03.24,1971,Indoor,Hard
1971-260,17,,Durban,260,durban,South Africa,1971.03.29,1971,Outdoor,Hard
1971-681,18,,Miami WCT,681,miami,Miami,1971.03.30,1971,Outdoor,Hard
1971-6120,19,,Nice,6120,nice,Nice,1971.03.30,1971,Outdoor,Clay
1971-426,20,,Johannesburg,426,johannesburg,"Johannesburg, South Africa",1971.04.05,1971,Outdoor,Hard
1971-410,21,,Monte Carlo,410,monte-carlo,Monte Carlo,1971.04.06,1971,Outdoor,Clay
1971-2061,22,,Des Moines,2061,des-moines,"Des Moines, United States",1971.04.07,1971,Indoor,Carpet
1971-325,23,,Palermo,325,palermo,Palermo,1971.04.12,1971,Outdoor,Clay
1971-436,24,,Charlotte,436,charlotte,Charlotte,1971.04.13,1971,Outdoor,Clay
1971-2047,25,,Jacksonville,2047,jacksonville,"Jacksonville, United States",1971.04.14,1971,Outdoor,Clay
1971-2065,26,,Catania,2065,catania,Catania,1971.04.19,1971,Outdoor,Clay
1971-405,27,,Houston,405,houston,Houston,1971.04.20,1971,Outdoor,Clay
1971-820,28,,Houston,820,houston,Houston,1971.04.20,1971,Outdoor,Clay
1971-389,29,,Denver,389,denver,"Denver, United States",1971.04.21,1971,Indoor,Carpet
1971-9205,30,,WCT Aetna World Cup,9205,boston,"Boston, United States",1971.04.24,1971,Indoor,Carpet
1971-388,31,,Dallas WCT,388,dallas,Dallas,1971.04.26,1971,Indoor,Carpet
1971-2010,32,,Paris Outdoor,2010,paris,Paris,1971.04.26,1971,Outdoor,Clay
1971-9238,33,,Kansas City,9238,kansas-city,"Kansas City, United States",1971.04.30,1971,Outdoor,Hard
1971-416,34,,Rome WCT,416,rome,Rome,1971.05.03,1971,Outdoor,Clay
1971-2026,35,,Madrid,2026,madrid,"Madrid, Spain",1971.05.03,1971,Outdoor,Clay
1971-2011,36,,Tehran WCT,2011,tehran,Tehran,1971.05.10,1971,Outdoor,Clay
1971-347,37,,Bournemouth,347,bournemouth,Bournemouth,1971.05.17,1971,Outdoor,Clay
1971-406,38,,Brussels,406,brussels,Brussels,1971.05.17,1971,Outdoor,Clay
1971-414,39,,Hamburg,414,hamburg,Hamburg,1971.05.17,1971,Outdoor,Clay
1971-520,40,Grand Slam,Roland Garros,520,roland-garros,Paris,1971.05.24,1971,Outdoor,Clay
1971-9240,41,,Berlin,9240,berlin,"Berlin, Germany",1971.05.24,1971,Outdoor,Clay
1971-313,42,,Bristol WCT,313,bristol,Bristol,1971.06.07,1971,Outdoor,Grass
1971-2049,43,,Eastbourne,2049,eastbourne,"Eastbourne, Great Britain",1971.06.14,1971,Outdoor,Grass
1971-311,44,,London / Queen's Club,311,london,London,1971.06.14,1971,Outdoor,Grass
1971-540,45,Grand Slam,Wimbledon,540,wimbledon,London,1971.06.21,1971,Outdoor,Grass
1971-316,46,,Bastad,316,bastad,Bastad,1971.07.05,1971,Outdoor,Clay
1971-314,47,,Gstaad,314,gstaad,Gstaad,1971.07.05,1971,Outdoor,Clay
1971-2050,48,,Newport,2050,newport,Newport,1971.07.05,1971,Outdoor,Grass
1971-2029,49,,Dublin,2029,dublin,"Dublin, Ireland",1971.07.05,1971,Outdoor,Grass
1971-308,50,,Munich,308,munich,"Munich, Germany",1971.07.05,1971,Outdoor,Clay
1971-418,51,,Washington WCT,418,washington,Washington,1971.07.12,1971,Outdoor,Clay
1971-663,52,,Louisville WCT,663,louisville,Louisville,1971.07.19,1971,Outdoor,Clay
1971-2051,53,,Tanglewood,2051,clemmons,Clemmons,1971.07.19,1971,Outdoor,Clay
1971-319,54,,Kitzbuhel,319,kitzbuhel,"Kitzbuhel, Austria",1971.07.19,1971,Outdoor,Clay
1971-2044,55,,Quebec WCT,2044,quebec-city,Quebec City,1971.07.26,1971,Indoor,Carpet
1971-317,56,,Hilversum,317,hilversum,Hilversum,1971.07.26,1971,Outdoor,Clay
1971-343,57,,Columbus,343,columbus,Columbus,1971.07.27,1971,Outdoor,Hard
1971-417,58,,Boston WCT,417,boston,Boston,1971.08.02,1971,Outdoor,Hard
1971-422,59,,Cincinnati,422,cincinnati,Cincinnati,1971.08.02,1971,Outdoor,Clay
1971-6834,60,,Senigallia,6834,senigallia,"Senigallia, Italy",1971.08.02,1971,Outdoor,Clay
1971-421,61,,Montreal / Toronto WCT,421,montreal,Montreal,1971.08.09,1971,Outdoor,Clay
1971-717,62,,Indianapolis,717,indianapolis,Indianapolis,1971.08.09,1971,Outdoor,Clay
1971-653,63,,Fort Worth WCT,653,fort-worth,Fort Worth,1971.08.16,1971,Outdoor,Hard
1971-2030,64,,Merion,2030,merion,Merion,1971.08.16,1971,Outdoor,Grass
1971-707,65,,South Orange,707,south-orange,South Orange,1971.08.23,1971,Outdoor,Grass
1971-724,66,,Hilton Head,724,hilton-head,"Hilton Head, United States",1971.08.27,1971,Outdoor,Clay
1971-560,67,Grand Slam,US Open,560,us-open,New York,1971.09.01,1971,Outdoor,Grass
1971-654,68,,Sacramento,654,sacramento,Sacramento,1971.09.13,1971,Outdoor,Hard
1971-423,69,,Los Angeles,423,los-angeles,Los Angeles,1971.09.18,1971,Outdoor,Hard
1971-6832,70,,Midland,6832,midland,"Midland, United States",1971.09.24,1971,Outdoor,Hard
1971-424,71,,Berkeley WCT,424,berkeley,Berkeley,1971.09.27,1971,Outdoor,Hard
1971-2048,72,,Vancouver WCT,2048,vancouver,Vancouver,1971.10.04,1971,Indoor,Carpet
1971-332,73,,Cologne WCT,332,cologne,Cologne,1971.10.11,1971,Indoor,Carpet
1971-425,74,,Barcelona WCT,425,barcelona,Barcelona,1971.10.18,1971,Outdoor,Clay
1971-430,75,,Wembley,430,wembley,Wembley,1971.10.24,1971,Indoor,Carpet
1971-429,76,,Stockholm WCT,429,stockholm,Stockholm,1971.10.30,1971,Indoor,Hard
1971-312,77,,Bologna WCT,312,bologna,Bologna,1971.11.08,1971,Indoor,Carpet
1971-610,78,,Dallas WCT,610,dallas,Dallas,1971.11.18,1971,Indoor,Carpet
1971-303,79,,Buenos Aires,303,buenos-aires,Buenos Aires,1971.11.22,1971,Outdoor,Clay
1971-605,80,ATP Finals,Masters,605,masters,,1971.12.04,1971,Indoor,Hard
1971-9204,81,,Kingston,9204,kingston,Kingston,1971.12.13,1971,Indoor,Hard
1972-301,1,,Auckland,301,auckland,Auckland,1971.12.06,1972,Outdoor,Grass
