slug,player_id
g978,marcin-gawron
pc65,jakub-piter
d686,pierre-ludovic-duclos
y124,donald-young
a678,kevin-anderson
k922,roy-kalmanovich
y070,michael-yani
e212,bruno-echagaray
t296,gabriel-trujillo-soler
d617,ryler-deheart
i145,kyu-tae-im
m800,jan-minar
n334,eric-nunez
w306,stefan-wauters
z184,horacio-zeballos
z151,shao-xuan-zeng
c813,ti-chen
r518,sanchai-ratiwatana
n430,hyun-woo-nam
g880,wan-gao
g905,peng-gao
r519,sonchat-ratiwatana
g493,catalin-ionut-gard
a392,artemon-apostu-efremov
a502,juan-martin-aranguren
t749,horia-tecau
cb04,alin-mihai-constantin
l872,petru-alexandru-luncanu
sg00,victor-stanica
l836,nick-lindahl
sg66,peerakiat-siriluethaiwattana
c493,jeff-coetzee
d684,weerapat-doakmaiklee
i230,tatsuma-ito
sg79,navdeep-singh
r823,purav-raja
bf55,yuki-bhambri
g716,rohan-gajjar
l719,tushar-liberhan
w541,akash-wagh
s813,jean-claude-scherrer
a478,jae-sung-an
s760,norikazu-sugiyama
v311,roman-valent
i165,denis-istomin
m808,julien-maes
m902,julien-mathieu
y117,pierrick-ysern
z104,lovro-zovko
k839,tobias-kamke
ma38,jan-mertl
k777,evgeny-kirillov
k926,mikhail-kukushkin
me89,illya-marchenko
r790,valery-rudnev
v296,dmitry-vlasov
ba65,dustin-brown
f480,mohammed-fetov
l801,dusan-lojda
k596,alexander-kudryavtsev
d864,evgeny-donskoy
ka74,vladimir-karusevich
o264,josselin-ouanna
a499,omar-alawadhi
ba08,alberto-brizzi
